,lemmatization,similarity_threshold,expert_threshold,tag_count,weighted_f1,macro_f1
0,lemmatization,0.5,0.2,101,0.20091182415965153,0.2512664640324215
1,lemmatization,0.5,0.4,101,0.17324498223374626,0.24624624624624625
2,lemmatization,0.5,0.6,101,0.22267992424242422,0.3147208121827411
3,lemmatization,0.5,0.8,101,0.3494694960212201,0.430379746835443
4,lemmatization,0.55,0.2,120,0.17359767788217884,0.22130299896587385
5,lemmatization,0.55,0.4,120,0.17282380918744555,0.24698795180722893
6,lemmatization,0.55,0.6,120,0.2253500191791331,0.3163265306122449
7,lemmatization,0.55,0.8,120,0.3494694960212201,0.430379746835443
8,lemmatization,0.6,0.2,143,0.16782024985017543,0.21330517423442452
9,lemmatization,0.6,0.4,143,0.17353017353017353,0.25149700598802394
10,lemmatization,0.6,0.6,143,0.24253106174698794,0.35175879396984927
11,lemmatization,0.6,0.8,143,0.36268472906403937,0.45783132530120474
12,lemmatization,0.65,0.2,157,0.17649715615306003,0.22408376963350787
13,lemmatization,0.65,0.4,157,0.17883732429186974,0.25671641791044775
14,lemmatization,0.65,0.6,157,0.23978794642857143,0.35
15,lemmatization,0.65,0.8,157,0.35632183908045967,0.4358974358974359
16,lemmatization,0.7,0.2,168,0.176849557410732,0.2286902286902287
17,lemmatization,0.7,0.4,168,0.1784438237962242,0.25149700598802394
18,lemmatization,0.7,0.6,168,0.23978794642857143,0.35
19,lemmatization,0.7,0.8,168,0.37002652519893897,0.45569620253164556
20,lemmatization,0.75,0.2,187,0.2034553335192868,0.25746652935118436
21,lemmatization,0.75,0.4,187,0.16334308915784043,0.23564954682779457
22,lemmatization,0.75,0.6,187,0.21859671677215192,0.30769230769230765
23,lemmatization,0.75,0.8,187,0.3494694960212201,0.430379746835443
24,lemmatization,0.8,0.2,213,0.19734739415317354,0.24765868886576486
25,lemmatization,0.8,0.4,213,0.16230350845735458,0.24096385542168675
26,lemmatization,0.8,0.6,213,0.2537033715925395,0.35
27,lemmatization,0.8,0.8,213,0.36304489264801565,0.45000000000000007
28,lemmatization,0.85,0.2,228,0.19206988641563882,0.24191866527632952
29,lemmatization,0.85,0.4,228,0.15635997988939165,0.23564954682779457
30,lemmatization,0.85,0.6,228,0.22738715277777777,0.32487309644670054
31,lemmatization,0.85,0.8,228,0.33536173089925625,0.4102564102564103
32,lemmatization,0.9,0.2,239,0.17237789875821316,0.21794871794871792
33,lemmatization,0.9,0.4,239,0.16304584304584305,0.24169184290030216
34,lemmatization,0.9,0.6,239,0.230078125,0.32487309644670054
35,lemmatization,0.9,0.8,239,0.36304489264801565,0.45000000000000007
36,lemmatization,0.95,0.2,244,0.1877330130752698,0.23814541622760801
37,lemmatization,0.95,0.4,244,0.15913756573097232,0.24242424242424243
38,lemmatization,0.95,0.6,244,0.23162157012195123,0.3333333333333333
39,lemmatization,0.95,0.8,244,0.37002652519893897,0.45569620253164556
40,lemmatization,1.0,0.2,247,0.18340384265601067,0.23068783068783066
41,lemmatization,1.0,0.4,247,0.15687487116058543,0.2370820668693009
42,lemmatization,1.0,0.6,247,0.23433159722222224,0.3350253807106599
43,lemmatization,1.0,0.8,247,0.35632183908045967,0.4358974358974359
44,no_lemmatization,0.5,0.2,107,0.19003142785175284,0.2366026289180991
45,no_lemmatization,0.5,0.4,107,0.1664299940162009,0.23564954682779457
46,no_lemmatization,0.5,0.6,107,0.21822976601457614,0.3061224489795918
47,no_lemmatization,0.5,0.8,107,0.32068965517241377,0.38961038961038963
48,no_lemmatization,0.55,0.2,128,0.1713420247782594,0.21582733812949642
49,no_lemmatization,0.55,0.4,128,0.18473782110145745,0.25903614457831325
50,no_lemmatization,0.55,0.6,128,0.230078125,0.326530612244898
51,no_lemmatization,0.55,0.8,128,0.3494694960212201,0.430379746835443
52,no_lemmatization,0.6,0.2,150,0.17107867678970773,0.21689259645464024
53,no_lemmatization,0.6,0.4,150,0.18630113502432194,0.2634730538922156
54,no_lemmatization,0.6,0.6,150,0.24253106174698794,0.35175879396984927
55,no_lemmatization,0.6,0.8,150,0.36927899686520377,0.4634146341463415
56,no_lemmatization,0.65,0.2,168,0.16613684707341975,0.21330517423442452
57,no_lemmatization,0.65,0.4,168,0.17717363784779513,0.2522522522522523
58,no_lemmatization,0.65,0.6,168,0.23162157012195123,0.3333333333333333
59,no_lemmatization,0.65,0.8,168,0.37002652519893897,0.45569620253164556
60,no_lemmatization,0.7,0.2,177,0.18107341757140852,0.22916666666666669
61,no_lemmatization,0.7,0.4,177,0.17589713657129386,0.2507462686567164
62,no_lemmatization,0.7,0.6,177,0.22738715277777777,0.32487309644670054
63,no_lemmatization,0.7,0.8,177,0.3490499648135116,0.42105263157894735
64,no_lemmatization,0.75,0.2,203,0.18619768650087995,0.23443983402489627
65,no_lemmatization,0.75,0.4,203,0.18237247941027307,0.2574850299401198
66,no_lemmatization,0.75,0.6,203,0.22738715277777777,0.32487309644670054
67,no_lemmatization,0.75,0.8,203,0.35632183908045967,0.4358974358974359
68,no_lemmatization,0.8,0.2,233,0.19015535798413044,0.24041450777202072
69,no_lemmatization,0.8,0.4,233,0.16947940947940945,0.24848484848484848
70,no_lemmatization,0.8,0.6,233,0.2521599264705882,0.3434343434343434
71,no_lemmatization,0.8,0.8,233,0.36304489264801565,0.45000000000000007
72,no_lemmatization,0.85,0.2,249,0.20994749693366424,0.2608695652173913
73,no_lemmatization,0.85,0.4,249,0.16947940947940945,0.24848484848484848
74,no_lemmatization,0.85,0.6,249,0.22738715277777777,0.32487309644670054
75,no_lemmatization,0.85,0.8,249,0.3494694960212201,0.430379746835443
76,no_lemmatization,0.9,0.2,261,0.20033163556559863,0.2507836990595611
77,no_lemmatization,0.9,0.4,261,0.17174210404979637,0.2537764350453172
78,no_lemmatization,0.9,0.6,261,0.22738715277777777,0.32487309644670054
79,no_lemmatization,0.9,0.8,261,0.33536173089925625,0.4102564102564103
80,no_lemmatization,0.95,0.2,266,0.19320575758807873,0.24141519250780438
81,no_lemmatization,0.95,0.4,266,0.16343973486830626,0.24316109422492402
82,no_lemmatization,0.95,0.6,266,0.23575395331325302,0.3417085427135679
83,no_lemmatization,0.95,0.8,266,0.36304489264801565,0.45000000000000007
84,no_lemmatization,1.0,0.2,268,0.18793994438838277,0.23799582463465557
85,no_lemmatization,1.0,0.4,268,0.17174210404979637,0.2537764350453172
86,no_lemmatization,1.0,0.6,268,0.23575395331325302,0.3417085427135679
87,no_lemmatization,1.0,0.8,268,0.33536173089925625,0.4102564102564103
